Component,File,Element,Label,Event,Handler,Inferred API
MobileExamQuestions,components\mobile\MobileExamQuestions.jsx,Element,"Unknown","onClick","Inline Function",""
MobileFloatingExamTimer,components\mobile\MobileFloatingExamTimer.jsx,Element,"Unknown","onClick","handleReturn","Nav: /m/exam/play"
MobileFloatingExamTimer,components\mobile\MobileFloatingExamTimer.jsx,Element,"Unknown","onClick","handleReturn","Nav: /m/exam/play"
MobileFloatingExamTimer,components\mobile\MobileFloatingExamTimer.jsx,Element,"Unknown","onClick","handleClose",""
MobileMarkdownRenderer,components\mobile\MobileMarkdownRenderer.jsx,Element,"{match[1]}","onClick","handleCopy",""
MobileNav,components\mobile\MobileNav.jsx,Element,"Unknown","onClick","Inline Function",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"{error}","onClick","onBack","Ref (Unknown Body)"
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Button,"Go Back","onClick","onBack","Ref (Unknown Body)"
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","onBack","Ref (Unknown Body)"
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","Inline Function",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","Inline Function",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","speakWord",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","Inline Function",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onChange","Inline Function",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","checkAnswer",""
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","handleSaveWord","POST: vocab/"
MobileReaderPractice,components\mobile\MobileReaderPractice.jsx,Element,"Unknown","onClick","handleNext",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"Unknown","onClick","Inline Function",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"Unknown","onClick","Inline Function",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"{fontSize}","onClick","Inline Function",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"Unknown","onClick","Inline Function",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"Unknown","onClick","Inline Function",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"Unknown","onClick","Inline Function",""
MobileStoryDisplay,components\mobile\MobileStoryDisplay.jsx,Element,"Unknown","onClick","Inline Function",""
