Component,File,Element,Label,Event,Handler,Inferred Logic
grammar_generator_screen.dart,reader\screens\grammar_generator_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
grammar_generator_screen.dart,reader\screens\grammar_generator_screen.dart,GestureDetector,"Unknown","onTap","setState(()","-"
grammar_generator_screen.dart,reader\screens\grammar_generator_screen.dart,ElevatedButton,"Unknown","onPressed","_isGenerating ? null","-"
grammar_screen.dart,reader\screens\grammar_screen.dart,GestureDetector,"Unknown","onTap","// Navigate to detail","-"
reader_screen.dart,reader\screens\reader_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.go('/home'),","Navigation"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onTap","context.push('/library'),","Navigation"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onTap","_showInputSheet(context, ref, 'url'),","-"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onTap","_showInputSheet(context, ref, 'youtube'),","-"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onTap","// Trigger file picker simulation immediately","-"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onTap","_showInputSheet(context, ref, 'text'),","-"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onTap","onTap","-"
reader_screen.dart,reader\screens\reader_screen.dart,GestureDetector,"Unknown","onPressed","_handleSubmit","-"
reader_view_screen.dart,reader\screens\reader_view_screen.dart,IconButton,"Icon: Icons.more_vert","onPressed","// TODO: Show options menu (font size, etc)","-"
reader_view_screen.dart,reader\screens\reader_view_screen.dart,FAB,"Unknown","onPressed","// TODO: Implement 'Ask AI' or 'Define'","-"
about_screen.dart,settings\screens\about_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
help_screen.dart,settings\screens\help_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
help_screen.dart,settings\screens\help_screen.dart,GestureDetector,"Icon: icon, color: const Color(0xFFA1A1AA","onTap","),","-"
article_display.dart,shared\widgets\article_display.dart,IconButton,"Unknown","onPressed","setState(()","-"
article_display.dart,shared\widgets\article_display.dart,TextButton,"Unknown","onPressed","final allShown = _sections.asMap().keys.every(","-"
article_display.dart,shared\widgets\article_display.dart,InkWell,"Unknown","onTap","setState(() {","-"
article_display.dart,shared\widgets\article_display.dart,InkWell,"Unknown","onTap","setState(() {","-"
article_display.dart,shared\widgets\article_display.dart,GestureDetector,"Unknown","onTap","_speak(index, section['content']),","-"
article_display.dart,shared\widgets\article_display.dart,GestureDetector,"Unknown","onTap","setState(() {","-"
article_display.dart,shared\widgets\article_display.dart,GestureDetector,"Unknown","onTap","setState(() {","-"
article_display.dart,shared\widgets\article_display.dart,InkWell,"Unknown","onTap","onTap","-"
dialogue_display.dart,shared\widgets\dialogue_display.dart,IconButton,"Unknown","onPressed","final allShown = _messages.asMap().keys.every(","-"
dialogue_display.dart,shared\widgets\dialogue_display.dart,GestureDetector,"Unknown","onTap","_speak(","-"
dialogue_display.dart,shared\widgets\dialogue_display.dart,GestureDetector,"Unknown","onTap","setState(() {","-"
dialogue_display.dart,shared\widgets\dialogue_display.dart,InkWell,"Unknown","onTap","onTap","-"
