Component Name,Type,Complexity Score,LOC,Hooks Count,3rd Party Libs,Rendered Children (Deep),HTML Elements,Path
AISetupModal,Component,22,114,8,"react","","div; span; h3; input; button",components/AISetupModal.jsx
PodcastDemo,Component,22,90,7,"react; framer-motion; @heroicons/react/24/solid","SpeakerWaveIcon; PauseIcon; PlayIcon","div; h3; motion; button; span",components/PodcastDemo.jsx
SmartReaderDemo,Component,22,133,6,"react; framer-motion; @heroicons/react/24/solid","BookOpenIcon; AnimatePresence; BoltIcon","div; span; motion; h4",components/SmartReaderDemo.jsx
MobileAIGenerator,Page,21,135,5,"react; react-router-dom; framer-motion; @heroicons/react/24/outline; @lottiefiles/dotlottie-react","DotLottieReact; ChevronLeftIcon; SparklesIcon; GeneratorCard","motion; div; img; h3; svg...",pages/mobile/MobileAIGenerator.jsx
Navbar,Component,21,149,6,"react; react-router-dom","Link; Logo","nav; div; span; button; svg...",components/Navbar.jsx
GrammarViewer,Component,20,177,4,"react; react-markdown; react-syntax-highlighter; react-syntax-highlighter/dist/esm/styles/prism; remark-gfm; rehype-raw; mermaid","ReactMarkdown; MermaidDiagram; SyntaxHighlighter","div; pre; code; span; h1...",components/GrammarViewer.jsx
FloatingExamTimer,Component,19,69,6,"react; react-router-dom; framer-motion; @heroicons/react/24/outline","AnimatePresence; ClockIcon; ArrowRightIcon; XMarkIcon","motion; div; button",components/FloatingExamTimer.jsx
MobileExamQuestions,Component,18,317,0,"react; framer-motion; lucide-react","React; Check","div; span; select; option; motion",components/mobile/MobileExamQuestions.jsx
MobilePractice,Page,17,118,5,"react; react-router-dom","ChevronRight","div; h1; button; mode; h2...",pages/mobile/MobilePractice.jsx
AnimatedIcons,Component,17,170,3,"react; framer-motion","Icon; RatedButton","motion; div; span",components/AnimatedIcons.jsx
ParticleBrain,Component,16,166,4,"react","","canvas",components/ParticleBrain.jsx
ExamQuestions,Component,15,236,0,"react; @heroicons/react/24/solid","React; CheckCircleIcon; XCircleIcon","div; h3; span; select; option...",components/ExamQuestions.jsx
MagneticButton,Component,14,42,6,"react; framer-motion","","motion",components/MagneticButton.jsx
OfflineIndicator,Component,14,67,4,"react; framer-motion; lucide-react","AnimatePresence; WifiOff; RefreshCw","motion; span",components/OfflineIndicator.jsx
MobileAbout,Page,13,118,2,"react; react-router-dom; framer-motion; lucide-react","ArrowLeft; Heart; Github","div; button; h1; motion; span...",pages/mobile/MobileAbout.jsx
HLRStatsCard,Component,13,145,2,"react; @heroicons/react/24/outline","ChevronUpIcon; ChevronDownIcon","div; span; button",components/HLRStatsCard.jsx
MobileHelp,Page,12,113,2,"react; react-router-dom; framer-motion; lucide-react","ArrowLeft; Mail","div; button; h1; h2; motion...",pages/mobile/MobileHelp.jsx
MobileAIWizardLayout,Component,12,103,2,"react; framer-motion; @heroicons/react/24/outline; react-router-dom","ChevronLeftIcon; AnimatePresence; SparklesIcon","div; button; h1; motion; h2",components/mobile/MobileAIWizardLayout.jsx
PricingSection,Component,10,150,0,"react; framer-motion; @heroicons/react/24/solid","CheckCircleIcon; PricingCard","motion; div; h3; span; ul...",components/PricingSection.jsx
BiDiText,Component,9,152,0,"react","Component","span; bdi",components/BiDiText.jsx
ErrorFallback,Component,8,90,0,"react; lucide-react","AlertTriangle; RefreshCw; Home","div; h1; button",components/ErrorFallback.jsx
ErrorBoundary,Component,7,75,0,"react","YourComponent; CustomError; ErrorFallback","",components/ErrorBoundary.jsx
MobileLayout,Component,7,51,0,"react; react-router-dom","Outlet; MobileFloatingExamTimer; InstallPrompt; MobileNav","div; main",components/mobile/MobileLayout.jsx
TagManager,Component,7,66,2,"react","","div; span; button; svg; path...",components/TagManager.jsx
GoogleAuthButton,Component,6,49,2,"react; @react-oauth/google; framer-motion","","motion; svg; path",components/GoogleAuthButton.jsx
ActivityHeatmap,Component,5,105,0,"react","","div; h2; span",components/ActivityHeatmap.jsx
StatsDemo,Component,5,95,0,"react; framer-motion","","div; h3; svg; defs; linearGradient...",components/StatsDemo.jsx
Logo,Component,1,19,0,"react","","div; svg; path; span",components/Logo.jsx
